Usuario_Twitter,In_Degree,Out_Degree,Betweenness,Closeness_Rec,Closeness_Dif,Eigenvector,PageRank
2morrowknight,0.044444444444444446,0.0,0.0,0.38400830737279334,0.0,0.020879714965390473,0.0050429545980410434
BradSmi,0.26666666666666666,0.17777777777777778,0.03074382678183848,0.5444444444444445,0.5113636363636364,0.11728261983135722,0.036603262119864054
DaveParkerSEA,0.33333333333333337,0.8,0.05503751305379888,0.5444444444444445,0.8333333333333334,0.15636965140342882,0.021020395808417802
JenMsft,0.08888888888888889,0.08888888888888889,0.001511336562506153,0.4780487804878049,0.42452830188679247,0.0388224217950598,0.008976144677646444
Jenerationy,0.15555555555555556,0.26666666666666666,0.0021220655005191546,0.4454545454545455,0.569620253164557,0.05638736717650675,0.008829220000267594
KieranSnyder,0.4444444444444445,0.24444444444444446,0.0242435230891805,0.6030769230769231,0.5487804878048781,0.19746958164932424,0.03295821520314974
Kristen_Hammy,0.26666666666666666,0.2,0.001775520066518284,0.536986301369863,0.5487804878048781,0.13939731214043008,0.018523671938861584
LeslieFeinzaig,0.4,0.35555555555555557,0.01022868137151246,0.5764705882352942,0.6081081081081081,0.19462308721837837,0.02466417412877324
MissDestructo,0.35555555555555557,0.5111111111111112,0.02994142620805977,0.5599999999999999,0.6716417910447762,0.1770597372375629,0.023429006551354215
PeterHamilton,0.15555555555555556,0.17777777777777778,0.001166059875952924,0.4611764705882353,0.5421686746987951,0.06159568961993852,0.008797707014176002
RajSinghSeattle,0.37777777777777777,0.15555555555555556,0.0056268708971619775,0.5764705882352942,0.5056179775280899,0.1773780457694348,0.02450192380121377
Rich_Barton,0.4222222222222222,0.06666666666666667,0.0019538634976446257,0.6030769230769231,0.4166666666666667,0.21096543987395636,0.04032554762529508
Ryanintheus,0.2,0.3111111111111111,0.00977541078207182,0.4839506172839506,0.5921052631578947,0.08591532319601373,0.01174074923351544
ShaunaCausey,0.5111111111111112,0.6222222222222222,0.05853351987751203,0.6222222222222222,0.7258064516129032,0.201490586565657,0.029458986918697534
SoGulley,0.15555555555555556,0.48888888888888893,0.007855019264084422,0.4666666666666667,0.6617647058823529,0.0792848455544526,0.010392605675004876
akipman,0.13333333333333333,0.022222222222222223,6.313131313131313e-05,0.4839506172839506,0.3409090909090909,0.05881102165283287,0.014519082619213359
ashannstew,0.26666666666666666,0.33333333333333337,0.0036632642930138006,0.5226666666666667,0.5844155844155844,0.13063662959206626,0.01619062181924894
crashdev,0.4666666666666667,0.35555555555555557,0.03657523360454135,0.6125,0.5921052631578947,0.19444370557547444,0.04073990661064289
danshapiro,0.35555555555555557,0.08888888888888889,0.0012207642605663058,0.5681159420289855,0.4838709677419355,0.16771214765955333,0.024172122698902183
daryn,0.15555555555555556,0.22222222222222224,0.0023918173638199985,0.4780487804878049,0.5421686746987951,0.08802992448984588,0.014095611383227291
etzioni,0.35555555555555557,0.3111111111111111,0.020220305884984538,0.5764705882352942,0.5921052631578947,0.1869984930843162,0.039508672549143996
eugenio_pace,0.06666666666666667,0.0,0.0,0.4150392817059484,0.0,0.03023532596001575,0.006956110901629557
funcOfJoe,0.06666666666666667,0.15555555555555556,0.0003643999098544553,0.4454545454545455,0.46875,0.035481799863909216,0.007270302002243297
gilbert,0.35555555555555557,0.15555555555555556,0.0036723423337239516,0.5599999999999999,0.47368421052631576,0.16894683944200392,0.024511692938522144
hadip,0.4666666666666667,0.13333333333333333,0.009549770837543572,0.6125,0.5113636363636364,0.18407265365282083,0.03932579858266466
heatherredman,0.5333333333333333,0.5777777777777778,0.04762025237242062,0.6426229508196721,0.703125,0.23454966285932236,0.03450378009955881
jinman,0.06666666666666667,0.13333333333333333,2.8058361391694722e-05,0.4355555555555556,0.5357142857142857,0.03928638314385386,0.006136692824168191
john_gabbert,0.15555555555555556,0.13333333333333333,0.00011223344556677889,0.49000000000000005,0.5232558139534884,0.08969716138656926,0.011540328665618393
juliesandler,0.5777777777777778,0.5777777777777778,0.043588332101740186,0.6644067796610169,0.703125,0.24554875137325793,0.03898154780973321
kirbywinfield,0.37777777777777777,0.2,0.007193090340277651,0.5764705882352942,0.5357142857142857,0.16983607035768838,0.02604870705855769
lanctot,0.11111111111111112,0.24444444444444446,0.0009877241632292137,0.4611764705882353,0.5487804878048781,0.061429961112427885,0.009690841607935485
lovelletters,0.48888888888888893,0.5333333333333333,0.020971092114811244,0.6222222222222222,0.6818181818181818,0.21544838630729554,0.029423273108729414
marybethlambert,0.044444444444444446,0.11111111111111112,3.6075036075036075e-05,0.4083333333333333,0.5113636363636364,0.027305621773218255,0.005703071544391392
matt_oppy,0.24444444444444446,0.5777777777777778,0.01700506909673637,0.5157894736842106,0.703125,0.13201483819250245,0.01880554895688543
mattmcilwain,0.2888888888888889,0.2,0.006917208638664175,0.5297297297297298,0.5294117647058824,0.14073785148366413,0.021471745836263385
mattmday,0.22222222222222224,0.26666666666666666,0.01502040750604766,0.5226666666666667,0.5555555555555556,0.103481088945944,0.02485329466322808
mcolacurcio,0.11111111111111112,0.26666666666666666,0.0007669189676765435,0.45581395348837206,0.5555555555555556,0.06787797548617736,0.009172575831161867
medinism,0.2,0.044444444444444446,0.0007331431195067558,0.509090909090909,0.4090909090909091,0.09936277499652754,0.018232453640903083
moniguzman,0.48888888888888893,0.5111111111111112,0.03856228723408174,0.6222222222222222,0.6617647058823529,0.18377100000624114,0.02959999104998036
nhuntwalker,0.08888888888888889,0.15555555555555556,0.0019286257230598342,0.4083333333333333,0.5172413793103449,0.03250287555229672,0.007838250037127795
rachelerman,0.5333333333333333,0.5777777777777778,0.049294673735334554,0.6533333333333333,0.703125,0.23300216397660956,0.04130056699572898
sarahstood,0.08888888888888889,0.17777777777777778,0.0003966796391038815,0.4454545454545455,0.5421686746987951,0.04638281808655301,0.00744713720766671
sonalpmane,0.17777777777777778,0.26666666666666666,0.0006114092358111497,0.49000000000000005,0.5625,0.09611854199003991,0.012764667858715465
stevesi,0.5333333333333333,0.4,0.053774478760166416,0.6426229508196721,0.625,0.23203192819678203,0.054327811935786605
tarah,0.17777777777777778,0.0,0.0,0.4891534391534391,0.0,0.08444437331939027,0.010725603922929268
toddbishop,0.6888888888888889,0.8666666666666667,0.155509503071687,0.739622641509434,0.8823529411764706,0.2694995691098781,0.04887762194521356
